,time,latency
0,2020-04-28 19:24:29.905042,27.882660052273426
1,2020-04-28 19:24:30.723113,28.685244146268808
2,2020-04-28 19:24:31.651824,29.553025532048203
3,2020-04-28 19:24:33.375469,31.369840029161423
4,2020-04-28 19:24:33.771640,31.707515532150865
35,2020-04-28 19:54:33.263595,31.1767311389558
36,2020-04-28 19:54:35.678661,33.61413178872317
37,2020-04-28 19:54:36.519424,34.481158206705004
38,2020-04-28 19:54:37.078166,35.055877590086304
39,2020-04-28 19:54:37.197228,35.19133871980012
70,2020-04-28 20:19:53.772971,29.187366432975978
71,2020-04-28 20:19:54.249579,29.68010900076479
72,2020-04-28 20:19:54.643989,30.09106383379549
73,2020-04-28 20:19:55.521020,30.90867036022246
74,2020-04-28 20:19:55.968350,31.31753001920879
105,2020-04-28 20:45:19.790890,28.384156873915344
106,2020-04-28 20:45:20.399270,29.029889046214517
107,2020-04-28 20:45:20.785730,29.425425563007593
108,2020-04-28 20:45:20.803742,29.421571101993322
109,2020-04-28 20:45:21.967772,30.617626857943836
140,2020-04-28 21:10:42.682273,23.68970945291221
141,2020-04-28 21:10:46.591940,27.493162733037025
142,2020-04-28 21:10:47.687436,28.63269736384973
143,2020-04-28 21:10:47.728345,28.71943541802466
144,2020-04-28 21:10:47.992098,28.96728166891262
175,2020-04-28 21:36:19.702249,28.003726595081393
176,2020-04-28 21:36:20.322588,28.581895138137046
177,2020-04-28 21:36:21.088367,29.406473163049675
178,2020-04-28 21:36:21.589955,29.87569756200537
179,2020-04-28 21:36:22.202103,30.418448778800663
210,2020-04-28 22:01:53.992105,28.132319399621334
211,2020-04-28 22:01:55.523005,29.68981656199321
212,2020-04-28 22:01:55.659826,29.859358379151672
213,2020-04-28 22:01:55.927624,30.11057714093477
214,2020-04-28 22:01:56.321791,30.423001787159592
245,2020-04-28 22:27:48.377119,28.6138108628802
246,2020-04-28 22:27:48.384960,28.638570693787194
247,2020-04-28 22:27:48.398746,28.60941563220695
248,2020-04-28 22:27:49.347826,29.619573310948912
249,2020-04-28 22:27:49.543383,29.70856079412624
280,2020-04-28 22:53:37.393311,27.095000294037167
281,2020-04-28 22:53:38.841927,28.52790001919493
282,2020-04-28 22:53:39.263804,28.92331085121259
283,2020-04-28 22:53:39.593505,29.31171872233972
284,2020-04-28 22:53:40.625164,30.23830008506775
315,2020-04-28 23:19:03.590787,24.29135338496417
316,2020-04-28 23:19:06.627638,27.34482555789873
317,2020-04-28 23:19:07.618975,28.277301050256934
318,2020-04-28 23:19:08.387936,29.045396392233673
319,2020-04-28 23:19:08.453500,29.138290599919852
350,2020-04-28 23:45:00.231913,26.851436988916248
351,2020-04-28 23:45:01.180552,27.839681752026078
352,2020-04-28 23:45:02.081172,28.76662371121347
353,2020-04-28 23:45:02.281134,28.98291665781289
354,2020-04-28 23:45:02.656313,29.37456014519557
385,2020-04-29 00:10:19.589298,28.17965165805072
386,2020-04-29 00:10:19.713817,28.26210768008605
387,2020-04-29 00:10:19.730088,28.379110931884494
388,2020-04-29 00:10:20.178603,28.811154323164374
389,2020-04-29 00:10:22.036419,30.65316607896239
420,2020-04-29 00:35:44.643815,27.579840207938105
421,2020-04-29 00:35:45.744400,28.663908804766837
422,2020-04-29 00:35:46.407530,29.240775070153173
423,2020-04-29 00:35:46.416398,29.319834604859352
424,2020-04-29 00:35:46.809685,29.682867767754946
